CIP_Occupation_Title,NSSBIC_Occupation_Title
Biophysics,Scientific & Technical Services
Molecular Biochemistry  (New),Scientific & Technical Services
Molecular Biophysics  (New),Scientific & Technical Services
Biochemistry/Biophysics & Molecular Biology  (New),Scientific & Technical Services
"Cell/Cellular Biology & Anatomical Sciences, Other",Scientific & Technical Services
Soil Microbiology  (New),Scientific & Technical Services
Biochemistry,Scientific & Technical Services
Molecular Biochemistry  (New),Scientific & Technical Services
Biochemistry/Biophysics & Molecular Biology  (New),Scientific & Technical Services
"Cell/Cellular Biology & Anatomical Sciences, Other",Scientific & Technical Services
Soil Microbiology  (New),Scientific & Technical Services
Biophysics,Scientific & Technical Services
Molecular Biophysics  (New),Scientific & Technical Services
Biochemistry/Biophysics & Molecular Biology  (New),Scientific & Technical Services
"Cell/Cellular Biology & Anatomical Sciences, Other",Scientific & Technical Services
Soil Microbiology  (New),Scientific & Technical Services
Structural Biology  (New),Scientific & Technical Services
Biochemistry/Biophysics & Molecular Biology  (New),Scientific & Technical Services
Neuroanatomy  (New),Scientific & Technical Services
"Cell/Cellular Biology & Anatomical Sciences, Other",Scientific & Technical Services
"Microbiology, General  (New)",Scientific & Technical Services
Wildlife & Wildlands Science & Management,Scientific & Technical Services
"Cell/Cellular Biology & Anatomical Sciences, Other",Scientific & Technical Services
Ecology,Scientific & Technical Services
Zoology/Animal Biology,Scientific & Technical Services
Entomology,Scientific & Technical Services
Animal Physiology,Scientific & Technical Services
Animal Behavior & Ethology  (New),Scientific & Technical Services
Wildlife Biology  (New),Scientific & Technical Services
"Zoology/Animal Biology, Other",Scientific & Technical Services
"Biology/Biological Sciences, General",Scientific & Technical Services
Molecular Biology,Scientific & Technical Services
Photobiology   (New),Scientific & Technical Services
Radiation Biology/Radiobiology,Scientific & Technical Services
Botany/Plant Biology,Scientific & Technical Services
Plant Pathology/Phytopathology,Scientific & Technical Services
Plant Physiology,Scientific & Technical Services
Plant Molecular Biology (New),Scientific & Technical Services
"Botany/Plant Biology, Other",Scientific & Technical Services
Cell/Cellular Biology & Histology,Scientific & Technical Services
Anatomy,Scientific & Technical Services
Developmental Biology & Embryology (New),Scientific & Technical Services
Neuroanatomy  (New),Scientific & Technical Services
Cell/Cellular & Molecular Biology (New),Scientific & Technical Services
Cell Biology & Anatomy (New),Scientific & Technical Services
"Cell/Cellular Biology & Anatomical Sciences, Other",Scientific & Technical Services
Medical Microbiology & Bacteriology,Scientific & Technical Services
Virology,Scientific & Technical Services
Parasitology,Scientific & Technical Services
Mycology  (New),Scientific & Technical Services
Immunology,Scientific & Technical Services
Ecology,Scientific & Technical Services
Marine Biology & Biological Oceanography,Scientific & Technical Services
Evolutionary Biology,Scientific & Technical Services
Aquatic Biology/Limnology  (New),Scientific & Technical Services
Environmental Biology  (New),Scientific & Technical Services
Population Biology  (New),Scientific & Technical Services
Conservation Biology  (New),Scientific & Technical Services
Systematic Biology/Biological Systematics  (New),Scientific & Technical Services
"Ecology, Evolution, & Systematics, Other  (New)",Scientific & Technical Services
Entomology,Scientific & Technical Services
Animal Physiology,Scientific & Technical Services
"Genetics, General  (New)",Scientific & Technical Services
Molecular Genetics  (New),Scientific & Technical Services
Microbial & Eukaryotic Genetics   (New),Scientific & Technical Services
Animal Genetics,Scientific & Technical Services
Plant Genetics,Scientific & Technical Services
"Genetics, Other  (New)",Scientific & Technical Services
Pathology/Experimental Pathology  (New),Scientific & Technical Services
Pharmacology,Scientific & Technical Services
Toxicology,Scientific & Technical Services
Biometry/Biometrics,Scientific & Technical Services
Biostatistics,Scientific & Technical Services
Biotechnology,Scientific & Technical Services
Behavioral Sciences  (New),Scientific & Technical Services
Nutrition Sciences,Scientific & Technical Services
Neuroscience,Scientific & Technical Services
"Natural Resources/Conservation, General",Public Administration & Legal Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Public Administration & Legal Services
"Natural Resources Management & Policy, General",Public Administration & Legal Services
"Water, Wetlands, & Marine Resources Management  (New)",Public Administration & Legal Services
Land Use Planning & Management/Development  (New),Public Administration & Legal Services
"Natural Resources Management & Policy, Other",Public Administration & Legal Services
"Forestry, General",Public Administration & Legal Services
Forest Sciences,Public Administration & Legal Services
Forest Management/ Forest Resources Management,Public Administration & Legal Services
"Forestry, Other",Public Administration & Legal Services
Wildlife & Wildlands Science & Management,Public Administration & Legal Services
"Natural Resources & Conservation, Other",Public Administration & Legal Services
"Natural Resources/Conservation, General",Public Administration & Legal Services
"Natural Resources Management & Policy, General",Public Administration & Legal Services
"Water, Wetlands, & Marine Resources Management  (New)",Public Administration & Legal Services
Land Use Planning & Management/Development  (New),Public Administration & Legal Services
"Natural Resources Management & Policy, Other",Public Administration & Legal Services
"Forestry, General",Public Administration & Legal Services
Forest Sciences,Public Administration & Legal Services
Forest Management/ Forest Resources Management,Public Administration & Legal Services
"Forestry, Other",Public Administration & Legal Services
Wildlife & Wildlands Science & Management,Public Administration & Legal Services
"Natural Resources & Conservation, Other",Public Administration & Legal Services
"Natural Resources/Conservation, General",Public Administration & Legal Services
"Natural Resources Management & Policy, General",Public Administration & Legal Services
"Water, Wetlands, & Marine Resources Management  (New)",Public Administration & Legal Services
Land Use Planning & Management/Development  (New),Public Administration & Legal Services
"Natural Resources Management & Policy, Other",Public Administration & Legal Services
"Forestry, General",Public Administration & Legal Services
Forest Sciences,Public Administration & Legal Services
Forest Management/ Forest Resources Management,Public Administration & Legal Services
"Forestry, Other",Public Administration & Legal Services
Wildlife & Wildlands Science & Management,Public Administration & Legal Services
"Natural Resources & Conservation, Other",Public Administration & Legal Services
"Natural Resources/Conservation, General",Public Administration & Legal Services
"Natural Resources Management & Policy, General",Public Administration & Legal Services
"Water, Wetlands, & Marine Resources Management  (New)",Public Administration & Legal Services
Land Use Planning & Management/Development  (New),Public Administration & Legal Services
"Natural Resources Management & Policy, Other",Public Administration & Legal Services
"Forestry, General",Public Administration & Legal Services
Forest Sciences,Public Administration & Legal Services
Forest Management/ Forest Resources Management,Public Administration & Legal Services
"Forestry, Other",Public Administration & Legal Services
Wildlife & Wildlands Science & Management,Public Administration & Legal Services
"Natural Resources & Conservation, Other",Public Administration & Legal Services
"Natural Resources/Conservation, General",Public Administration & Legal Services
"Natural Resources Management & Policy, General",Public Administration & Legal Services
"Natural Resources Management & Policy, Other",Public Administration & Legal Services
"Forestry, General",Public Administration & Legal Services
Forest Sciences,Public Administration & Legal Services
Forest Management/ Forest Resources Management,Public Administration & Legal Services
Urban Forestry  (New),Public Administration & Legal Services
Wood Science & Wood Products/Pulp & Paper Technology,Public Administration & Legal Services
Forest Resources Production & Management  (New),Public Administration & Legal Services
"Forestry, Other",Public Administration & Legal Services
"Natural Resources & Conservation, Other",Public Administration & Legal Services
Biophysics,Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
Cell/Cellular Biology & Histology,Scientific & Technical Services
Epidemiology,Scientific & Technical Services
"Medical Scientist  (MS, PhD)",Scientific & Technical Services
"Biomedical Sciences, General   (New)",Scientific & Technical Services
Biochemistry,Scientific & Technical Services
Biophysics,Scientific & Technical Services
Molecular Biology,Scientific & Technical Services
Cell/Cellular Biology & Histology,Scientific & Technical Services
Anatomy,Scientific & Technical Services
Medical Microbiology & Bacteriology,Scientific & Technical Services
Immunology,Scientific & Technical Services
Epidemiology,Scientific & Technical Services
Human/Medical Genetics,Scientific & Technical Services
"Physiology, General  (New)",Scientific & Technical Services
Molecular Physiology  (New),Scientific & Technical Services
Cell Physiology  (New),Scientific & Technical Services
Endocrinology  (New),Scientific & Technical Services
Reproductive Biology  (New),Scientific & Technical Services
Neurobiology & Neurophysiology  (New),Scientific & Technical Services
Cardiovascular Science  (New),Scientific & Technical Services
Exercise Physiology  (New),Scientific & Technical Services
Vision Science/Physiological Optics  (New),Scientific & Technical Services
Pathology/Experimental Pathology  (New),Scientific & Technical Services
Oncology & Cancer Biology  (New),Scientific & Technical Services
"Physiology, Pathology, & Related Sciences, Other  (New)",Scientific & Technical Services
Pharmacology,Scientific & Technical Services
Molecular Pharmacology  (New),Scientific & Technical Services
Neuropharmacology  (New),Scientific & Technical Services
Toxicology,Scientific & Technical Services
Molecular Toxicology  (New),Scientific & Technical Services
Environmental Toxicology   (New),Scientific & Technical Services
Pharmacology & Toxicology  (New),Scientific & Technical Services
"Pharmacology & Toxicology, Other  (New)",Scientific & Technical Services
Biostatistics,Scientific & Technical Services
"Medical Scientist  (MS, PhD)",Scientific & Technical Services
"Biology/Biological Sciences, General",Scientific & Technical Services
Ecology,Scientific & Technical Services
"Ecology, Evolution, & Systematics, Other  (New)",Scientific & Technical Services
"Biological & Biomedical Sciences, Other",Scientific & Technical Services
Behavioral Sciences  (New),Scientific & Technical Services
Natural Sciences  (New),Scientific & Technical Services
Nutrition Sciences,Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
Astronomy,Scientific & Technical Services
Astrophysics (New),Scientific & Technical Services
Planetary Astronomy & Science  (New),Scientific & Technical Services
"Astronomy and Astrophysics, Other",Scientific & Technical Services
Astrophysics (New),Scientific & Technical Services
"Physics, General",Scientific & Technical Services
Atomic/Molecular Physics,Scientific & Technical Services
Elementary Particle Physics,Scientific & Technical Services
Plasma & High-Temperature Physics,Scientific & Technical Services
Nuclear Physics,Scientific & Technical Services
Optics/Optical Sciences,Scientific & Technical Services
Solid State & Low-Temperature Physics,Scientific & Technical Services
Acoustics,Scientific & Technical Services
Theoretical & Mathematical Physics,Scientific & Technical Services
"Physics, Other",Scientific & Technical Services
Health/Medical Physics,Scientific & Technical Services
"Atmospheric Sciences & Meteorology, General",Scientific & Technical Services
Atmospheric Chemistry & Climatology  (New),Scientific & Technical Services
Atmospheric Physics & Dynamics  (New),Scientific & Technical Services
Meteorology  (New),Scientific & Technical Services
"Atmospheric Sciences & Meteorology, Other  (New)",Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
"Chemistry, General",Scientific & Technical Services
Analytical Chemistry,Scientific & Technical Services
Inorganic Chemistry,Scientific & Technical Services
Organic Chemistry,Scientific & Technical Services
Physical & Theoretical Chemistry,Scientific & Technical Services
Polymer Chemistry,Scientific & Technical Services
Chemical Physics (New),Scientific & Technical Services
"Chemistry, Other",Scientific & Technical Services
Materials Science,Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
Environmental Studies  (New),Scientific & Technical Services
Environmental Science   (New),Scientific & Technical Services
"Geology/Earth Science, General",Scientific & Technical Services
Geochemistry,Scientific & Technical Services
Geophysics & Seismology,Scientific & Technical Services
Paleontology,Scientific & Technical Services
Geochemistry & Petrology  (New),Scientific & Technical Services
"Oceanography, Chemical & Physical  (New)",Scientific & Technical Services
"Geological & Earth Sciences/Geosciences, Other",Scientific & Technical Services
"Geology/Earth Science, General",Scientific & Technical Services
Geochemistry,Scientific & Technical Services
Geophysics & Seismology,Scientific & Technical Services
Paleontology,Scientific & Technical Services
Geochemistry & Petrology  (New),Scientific & Technical Services
"Oceanography, Chemical & Physical  (New)",Scientific & Technical Services
"Geological & Earth Sciences/Geosciences, Other",Scientific & Technical Services
"Geology/Earth Science, General",Scientific & Technical Services
Hydrology & Water Resources Science  (New),Scientific & Technical Services
"Oceanography, Chemical & Physical  (New)",Scientific & Technical Services
Natural Sciences  (New),Scientific & Technical Services
"Physical Sciences, Other",Scientific & Technical Services
Agricultural Economics,Scientific & Technical Services
"Economics, General",Scientific & Technical Services
Applied Economics,Scientific & Technical Services
Econometrics & Quantitative Economics,Scientific & Technical Services
Development Economics & International Development,Scientific & Technical Services
International Economics,Scientific & Technical Services
"Economics, Other",Scientific & Technical Services
Business/Managerial Economics,Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Scientific & Technical Services
"Economics, General",Scientific & Technical Services
Applied Economics,Scientific & Technical Services
Econometrics & Quantitative Economics,Scientific & Technical Services
International Economics,Scientific & Technical Services
Business/Managerial Economics,Scientific & Technical Services
Marketing Research,Scientific & Technical Services
"Economics, General",Scientific & Technical Services
Applied Economics,Scientific & Technical Services
Business/Managerial Economics,Scientific & Technical Services
Marketing Research,Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Health & Human Services
"Psychology, General",Health & Human Services
Clinical Psychology,Health & Human Services
Counseling Psychology,Health & Human Services
Developmental & Child Psychology,Health & Human Services
Clinical Child Psycology,Health & Human Services
School Psychology,Health & Human Services
Psychoanalysis & Psychotherapy,Health & Human Services
"Psychology, General",Health & Human Services
Clinical Psychology,Health & Human Services
Counseling Psychology,Health & Human Services
Developmental & Child Psychology,Health & Human Services
School Psychology,Health & Human Services
Psychoanalysis & Psychotherapy,Health & Human Services
"Psychology, General",Health & Human Services
Clinical Psychology,Health & Human Services
Counseling Psychology,Health & Human Services
Developmental & Child Psychology,Health & Human Services
Clinical Child Psychology,Health & Human Services
School Psychology,Health & Human Services
Psychoanalysis & Psychotherapy,Health & Human Services
Youth Ministry (New),Not assigned
"Pastoral Counseling & Specialized Ministries, Other (New)",Not assigned
"Theological Studies & Religious Vocations, Other",Not assigned
"Psychology, General",Health & Human Services
Clinical Psychology,Health & Human Services
Counseling Psychology,Health & Human Services
Developmental & Child Psychology,Health & Human Services
Clinical Child Psycology,Health & Human Services
School Psychology,Health & Human Services
Psychoanalysis & Psychotherapy,Health & Human Services
"Psychology, General",Health & Human Services
Industrial & Organizational Psychology,Health & Human Services
Behavioral Sciences  (New),Health & Human Services
"Psychology, General",Health & Human Services
Cognitive Psychology & Psycholinguistics,Health & Human Services
Community Psychology,Health & Human Services
Comparative Psychology  (New),Health & Human Services
Developmental & Child Psychology,Health & Human Services
Experimental Psychology,Health & Human Services
Personality Psychology  (New),Health & Human Services
Physiological Psychology/Psychobiology,Health & Human Services
Social Psychology,Health & Human Services
Educational Psychology  (New),Health & Human Services
Psychometrics & Quantitative Psychology  (New),Health & Human Services
Enviromental Psychology (New),Health & Human Services
Geropsycho;ogy  (New),Health & Human Services
Health/Medical Psychology  (New),Health & Human Services
Psychopharmacology (New),Health & Human Services
Family Psychology,Health & Human Services
Forensic Psychology,Health & Human Services
"Psychology, Other",Health & Human Services
Criminology,Health & Human Services
Demography & Population Studies,Health & Human Services
Sociology,Health & Human Services
Urban Studies/Affairs,Health & Human Services
"City/Urban, Community & Regional Planning",Public Administration & Legal Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Residual occupation not assigned to a single cluster
Anthropology,Public Administration & Legal Services
Physical Anthropology  (New),Public Administration & Legal Services
Archeology,Public Administration & Legal Services
Anthropology,Public Administration & Legal Services
Physical Anthropology  (New),Public Administration & Legal Services
Archeology,Public Administration & Legal Services
Geography,Public Administration & Legal Services
Architectural History & Criticism  (New),Scientific & Technical Services
Historic Preservation & Conservation,Scientific & Technical Services
Cultural Resource Management & Policy Analysis  (New),Scientific & Technical Services
"Historic Preservation & Conservation, Other",Scientific & Technical Services
Medieval & Renaissance Studies,Scientific & Technical Services
Holocaust & Related Studies  (New),Scientific & Technical Services
Ancient Studies/Civilization   (New),Scientific & Technical Services
"Classical, Mediterranean, & Near Eastern/Oriental Studies & Archaeology   (New)",Scientific & Technical Services
"History, General",Scientific & Technical Services
American History (United States),Scientific & Technical Services
European History,Scientific & Technical Services
History & Philosophy of Science & Technology,Scientific & Technical Services
Asian History   (New),Scientific & Technical Services
Canadian History (New),Scientific & Technical Services
"History, Other",Scientific & Technical Services
International/Global Studies  (New),Public Administration & Legal Services
"Political Science & Government, General",Public Administration & Legal Services
American Government & Politics (United States),Public Administration & Legal Services
Canadian Government & Politics  (New),Public Administration & Legal Services
"Political Science & Government, Other",Public Administration & Legal Services
Gerontology,Public Administration & Legal Services
Behavioral Sciences  (New),Public Administration & Legal Services
"Social Sciences, General",Public Administration & Legal Services
"Social Sciences, Other",Public Administration & Legal Services
Animal/Livestock Husbandry & Production,"Agriculture, Forestry, & Fishing"
Crop Production,"Agriculture, Forestry, & Fishing"
"Animal Sciences, General","Agriculture, Forestry, & Fishing"
Agricultural Animal Breeding,"Agriculture, Forestry, & Fishing"
Animal Nutrition,"Agriculture, Forestry, & Fishing"
Dairy Science,"Agriculture, Forestry, & Fishing"
Food Science  (New),"Agriculture, Forestry, & Fishing"
Agronomy & Crop Science,"Agriculture, Forestry, & Fishing"
Animal/Livestock Husbandry & Production,"Agriculture, Forestry, & Fishing"
Crop Production,"Agriculture, Forestry, & Fishing"
"Animal Sciences, General","Agriculture, Forestry, & Fishing"
Agricultural Animal Breeding,"Agriculture, Forestry, & Fishing"
Animal Nutrition,"Agriculture, Forestry, & Fishing"
Dairy Science,"Agriculture, Forestry, & Fishing"
Food Science  (New),"Agriculture, Forestry, & Fishing"
Animal/Livestock Husbandry & Production,"Agriculture, Forestry, & Fishing"
Crop Production,"Agriculture, Forestry, & Fishing"
"Animal Sciences, General","Agriculture, Forestry, & Fishing"
Agricultural Animal Breeding,"Agriculture, Forestry, & Fishing"
Animal Nutrition,"Agriculture, Forestry, & Fishing"
Dairy Science,"Agriculture, Forestry, & Fishing"
Food Science  (New),"Agriculture, Forestry, & Fishing"
Biology Technician/Biotechnology Laboratory Technician,"Manufacturing, Installation & Repair"
Food Science  (New),"Manufacturing, Installation & Repair"
Chemical Technology/Technician,"Manufacturing, Installation & Repair"
Petroleum Technology/Technician,"Manufacturing, Installation & Repair"
Petroleum Technology/Technician,"Manufacturing, Installation & Repair"
Petroleum Technology/Technician,"Manufacturing, Installation & Repair"
Nuclear Engineering Technology/Technician   (New),"Manufacturing, Installation & Repair"
Industrial Radiologic Technology/Technician,"Manufacturing, Installation & Repair"
Nuclear/Nuclear Power Technology/Technician,"Manufacturing, Installation & Repair"
"Nuclear & Industrial Radiologic Technologies/Technicians, Other","Manufacturing, Installation & Repair"
Radiation Protection/Health Physics Technician   (New),"Manufacturing, Installation & Repair"
Nuclear Engineering Technology/Technician   (New),"Manufacturing, Installation & Repair"
Industrial Radiologic Technology/Technician,"Manufacturing, Installation & Repair"
Nuclear/Nuclear Power Technology/Technician,"Manufacturing, Installation & Repair"
"Nuclear & Industrial Radiologic Technologies/Technicians, Other","Manufacturing, Installation & Repair"
Radiation Protection/Health Physics Technician   (New),"Manufacturing, Installation & Repair"
Nuclear Engineering Technology/Technician   (New),"Manufacturing, Installation & Repair"
Industrial Radiologic Technology/Technician,"Manufacturing, Installation & Repair"
Nuclear/Nuclear Power Technology/Technician,"Manufacturing, Installation & Repair"
"Nuclear & Industrial Radiologic Technologies/Technicians, Other","Manufacturing, Installation & Repair"
Radiation Protection/Health Physics Technician   (New),"Manufacturing, Installation & Repair"
"Social Sciences, General",Scientific & Technical Services
"Social Sciences, General",Scientific & Technical Services
Environmental Studies  (New),Scientific & Technical Services
Environmental Science   (New),Scientific & Technical Services
"Physical Science Technologies/Technicians, Other",Scientific & Technical Services
"Science Technologies/Technicians, Other",Scientific & Technical Services
Forensic Science & Technology,Public Administration & Legal Services
"Natural Resources/Conservation, General","Agriculture, Forestry, & Fishing"
"Water, Wetlands, & Marine Resources Management  (New)","Agriculture, Forestry, & Fishing"
Land Use Planning & Management/Development  (New),"Agriculture, Forestry, & Fishing"
"Natural Resources Management & Policy, Other","Agriculture, Forestry, & Fishing"
"Forestry, General","Agriculture, Forestry, & Fishing"
Forest Sciences,"Agriculture, Forestry, & Fishing"
Forest Management/ Forest Resources Management,"Agriculture, Forestry, & Fishing"
Urban Forestry  (New),"Agriculture, Forestry, & Fishing"
Forest Resources Production & Management  (New),"Agriculture, Forestry, & Fishing"
Forest Technology/Technician  (New),"Agriculture, Forestry, & Fishing"
"Forestry, Other","Agriculture, Forestry, & Fishing"
"Natural Resources & Conservation, Other","Agriculture, Forestry, & Fishing"
"Physical Science Technologies/Technicians, Other",Scientific & Technical Services
"Science Technologies/Technicians, Other",Scientific & Technical Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Health & Human Services
Substance Abuse/Addiction Counseling,Health & Human Services
Clinical/Medical Social Work,Health & Human Services
"Mental & Social Health Services & Allied Professions, Other",Health & Human Services
Counselor Education/School Counseling & Guidance Services,Education & Training
College Student Counseling & Personnel Services,Education & Training
Social Work,Health & Human Services
Marriage & Family Therapy/Counseling,Health & Human Services
Clinical Pastoral Counseling/Patient Counseling   (New),Health & Human Services
Substance Abuse/Addiction Counseling,Health & Human Services
Clinical/Medical Social Work,Health & Human Services
Mental Health Counseling/Counselor   (New),Health & Human Services
"Mental & Social Health Services & Allied Professions, Other",Health & Human Services
Rehabilitation Counseling/Counselor,Health & Human Services
Assistive/Augmentative Technology & Rehabiliation Engineering  (New),Health & Human Services
Social Work,Health & Human Services
Genetic Counseling/Counselor   (New),Health & Human Services
"Mental & Social Health Services & Allied Professions, Other",Health & Human Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Health & Human Services
Juvenile Corrections  (New),Health & Human Services
Social Work,Health & Human Services
Youth Services/Administration  (New),Health & Human Services
Clinical/Medical Social Work,Health & Human Services
Clinical/Medical Social Work,Health & Human Services
Social Work,Health & Human Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Residual occupation not assigned to a single cluster
Health Communications  (New),Education & Training
Community Health Services/Liaison/Counseling   (New),Education & Training
Public Health Education & Promotion,Education & Training
Maternal & Child Health   (New),Education & Training
International Public Health/International Health   (New),Education & Training
Social Work,Public Administration & Legal Services
"Mental & Social Health Services & Allied Professions, Other",Health & Human Services
Behavioral Sciences  (New),Health & Human Services
"Mental & Social Health Services & Allied Professions, Other",Health & Human Services
Theology/Theological Studies,Not assigned
"Divinity/Ministry (BD, MDiv.)",Not assigned
Rabbinical Studies (M.H.L./Rav),Not assigned
Pre-Theology/Pre-Ministerial Studies,Not assigned
"Theological & ministerial Studies, Other",Not assigned
Bible/Biblical Studies,Not assigned
Missions/Missionary Studies & Missiology,Not assigned
Religious Education,Not assigned
Youth Ministry (New),Not assigned
"Theological & ministerial Studies, Other",Not assigned
Pastoral Studies/Counseling,Not assigned
"Legal Studies, General (New)",Public Administration & Legal Services
"Legal Studies, General  (New)",Public Administration & Legal Services
"Law (LL.B., J.D.)",Public Administration & Legal Services
"Advanced Legal Research/Studies, General (LL.M., M.C.L., M.L.I., M.S.L., J.S.D./S.J.D.)   (New)",Public Administration & Legal Services
"Programs for Foreign Lawyers (LL.M., M.C.L.) (New)",Public Administration & Legal Services
"American/U.S. Law/Legal Studies/Jurisprudence (LL.M., M.C.J., J.S.D./S.J.D.) (New)",Public Administration & Legal Services
"Canadian Law/Legal Studies/Jurisprudence (LL.M., M.C.J., J.S.D./S.J.D.). (New)",Public Administration & Legal Services
"Banking, Corporate, Finance, & Securities Law (LL.M., J.S.D./S.J.D.). (New)",Public Administration & Legal Services
"Comparative Law (LL.M., M.C.L., J.S.D./S.J.D.) (New)",Public Administration & Legal Services
"Energy, Environment, & Natural Resources Law (LL.M., M.S., J.S.D./S.J.D.). (New)",Public Administration & Legal Services
"Health Law (LL.M., M.J., J.S.D./S.J.D.) (New)",Public Administration & Legal Services
"International Law & Legal Studies (LL.M., J.S.D./S.J.D.) (New)",Public Administration & Legal Services
"International Business, Trade, & Tax Law (LL.M., J.S.D./S.J.D.). (New)",Public Administration & Legal Services
"Tax Law/Taxation (LL.M, J.S.D./S.J.D.). (New)",Public Administration & Legal Services
"Legal Research & Advanced Professional Studies, Other  (New)",Public Administration & Legal Services
"Law, Legal Services, & Legal Studies, Other  (New)",Public Administration & Legal Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Public Administration & Legal Services
"Legal Studies, General  (New)",Public Administration & Legal Services
"Law (LL.B., J.D.)",Public Administration & Legal Services
"Law, Legal Services, & Legal Studies, Other  (New)",Public Administration & Legal Services
"Legal Studies, General  (New)",Public Administration & Legal Services
"Law (LL.B., J.D.)",Public Administration & Legal Services
"Law, Legal Services, & Legal Studies, Other  (New)",Public Administration & Legal Services
"Legal Studies, General  (New)",Public Administration & Legal Services
"Law (LL.B., J.D.)",Public Administration & Legal Services
"Law, Legal Services, & Legal Studies, Other  (New)",Public Administration & Legal Services
Legal Assistant/Paralegal,Public Administration & Legal Services
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Public Administration & Legal Services
Court Reporting/Court Reporter,Public Administration & Legal Services
"Legal Studies, General  (New)",Public Administration & Legal Services
"Law (LL.B., J.D.)",Public Administration & Legal Services
Legal Assistant/Paralegal,Finance & Insurance
Legal Assistant/Paralegal,Finance & Insurance
"This is a broad SOC occupation. For related CIP programs, see detailed O*NET occupations listed below.",Education & Training
Business Teacher Education,Education & Training
"Business/Commerce, General   (New)",Education & Training
Business Administration/Management,Education & Training
"Purchasing, Procurement/Acquisitions & Contracts Management",Education & Training
Logistics & Materials Management,Education & Training
Operations Management & Supervision,Education & Training
Accounting,Education & Training
Business/Corporate Communications,Education & Training
Entrepreneurship/Entrepreneurial Studies,Education & Training
Franchising & Franchise Operations,Education & Training
"Finance, General",Education & Training
Financial Planning & Services,Education & Training
International Finance,Education & Training
Investments & Securities,Education & Training
Public Finance,Education & Training
"Human Resources Management/Personnel Administration, General",Education & Training
Labor & Industrial Relations,Education & Training
Organizational Behavior Studies,Education & Training
International Business/Trade/Commerce,Education & Training
"Management Science, General",Education & Training
Business Statistics,Education & Training
Actuarial Science,Education & Training
"Marketing/Marketing Management, General",Education & Training
Marketing Research,Education & Training
International Marketing,Education & Training
Insurance,Education & Training
"Computer & Information Sciences, General",Education & Training
Computer Science,Education & Training
"Computer Programming/Programmer, General",Education & Training
Information Science/Studies,Education & Training
Computer Systems Analysis/Analyst,Education & Training
"Mathematics, General",Education & Training
Algebra & Number Theory  (New),Education & Training
Analysis & Functional Analysis  (New),Education & Training
Geometry/Geometric Analysis  (New),Education & Training
Topology & Foundations  (New),Education & Training
"Mathematics, Other  (New)",Education & Training
Applied Mathematics,Education & Training
"Statistics, General",Education & Training
Mathematical Statistics & Probability  (New),Education & Training
"Mathematics & Statistics, Other",Education & Training
Logic (New),Education & Training
Business Statistics,Education & Training
"Architecture (BArch, BA/BS, MArch, MA/MS, PhD)",Education & Training
"City/Urban, Community & Regional Planning",Education & Training
Environmental Design/Architecture,Education & Training
Interior Architecture,Education & Training
"Landscape Architecture (BS, BSLA, BLA, MSLA, MLA, PhD)",Education & Training
"Teacher Education & Professional Development, Specific Subject Areas, Other",Education & Training
Architectural Engineering,Education & Training
"Teacher Education & Professional Development, Specific Subject Areas, Other",Education & Training
"Engineering, General",Education & Training
"Aerospace, Aeronautical & Astronautical Engineering",Education & Training
Agricultural/Biological Engineering & Bioengineering,Education & Training
Architectural Engineering,Education & Training
Biomedical/Medical Engineering,Education & Training
Ceramic Sciences & Engineering,Education & Training
Chemical Engineering,Education & Training
"Civil Engineering, General",Education & Training
Geotechnical Engineering,Education & Training
Structural Engineering,Education & Training
Transportation & Highway Engineering,Education & Training
Water Resources Engineering,Education & Training
"Civil Engineering, Other",Education & Training
"Computer Engineering, General",Education & Training
Computer Hardware Engineering  (New),Education & Training
Computer Software Engineering  (New),Education & Training
"Computer Engineering, Other  (New)",Education & Training
"Electrical, Electronics & Communications Engineering",Education & Training
Engineering Mechanics,Education & Training
Engineering Physics,Education & Training
Engineering Science,Education & Training
Environmental/Environmental Health Engineering,Education & Training
Materials Engineering,Education & Training
Mechanical Engineering,Education & Training
Metallurgical Engineering,Education & Training
Mining & Mineral Engineering,Education & Training
Naval Architecture & Marine Engineering,Education & Training
Nuclear Engineering,Education & Training
Ocean Engineering,Education & Training
